doc_id,url,title,description,pagerank
151,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9389742/,Modeled microgravity alters apoptotic gene expression and caspase activity in the squid-vibrio symbiosis - PMC,"Spaceflight is a novel and profoundly stressful environment for life. One aspect of spaceflight, microgravity, has been shown to perturb animal physiology thereby posing numerous health risks, including dysregulation of normal developmental ...",9e-06
152,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4187166/,Host-Microbe Interactions in Microgravity: Assessment and Implications - PMC,"Spaceflight imposes several unique stresses on biological life that together can have a profound impact on the homeostasis between eukaryotes and their associated microbes. One such stressor, microgravity, has been shown to alter host-microbe ...",9e-06
153,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7940393/,Modeled microgravity alters lipopolysaccharide and outer membrane vesicle production of the beneficial symbiont Vibrio fischeri - PMC,"Reduced gravity, or microgravity, can have a pronounced impact on the physiology of animals, but the effects on their associated microbiomes are not well understood. Here, the impact of modeled microgravity on the shedding of Gram-negative ...",9e-06
154,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2824534/,In vitro generation of mechanically functional cartilage grafts based on adult human stem cells and 3D-woven poly(ε-caprolactone) scaffolds - PMC,Three-dimensionally woven poly(ε-caprolactone)(PCL) scaffolds were combined with adult human mesenchymal stem cells (hMSC) to engineer mechanically functional cartilage constructs in vitro. The specific objectives were to: (i) produce PCL scaffolds ...,9e-06
155,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5219934/,Environmental cues and symbiont microbe-associated molecular patterns function in concert to drive the daily remodelling of the crypt-cell brush border of the Euprymna scolopes light organ - PMC,"Recent research has shown that the microbiota affects the biology of associated host epithelial tissues, including their circadian rhythms, although few data are available on how such influences shape the microarchitecture of the brush border. The ...",9e-06
156,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7064724/,Root Skewing-Associated Genes Impact the Spaceflight Response of Arabidopsis thaliana - PMC,"The observation that plant roots skew in microgravity recently refuted the long-held conviction that skewing was a gravity-dependent phenomenon. Further, spaceflight root skewing suggests that specific root morphologies and cell wall remodeling ...",9e-06
157,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8269219/,"Correction for Vangay et al., “Microbiome Metadata Standards: Report of the National Microbiome Data Collaborative’s Workshop and Follow-On Activities” - PMC","Correction for Vangay et al., “Microbiome Metadata Standards: Report of the National Microbiome Data Collaborative’s Workshop and Follow-On Activities” - PMC Skip to main content An official website o...",9e-06
158,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9023564/,Emergence of novel cephalopod gene regulation and expression through large-scale genome reorganization - PMC,"Coleoid cephalopods (squid, cuttlefish, octopus) have the largest nervous system among invertebrates that together with many lineage-specific morphological traits enables complex behaviors. The genomic basis underlying these innovations remains ...",9e-06
159,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2991213/,Chondrogenesis and Mineralization During In Vitro Culture of Human Mesenchymal Stem Cells on Three-Dimensional Woven Scaffolds - PMC,Human mesenchymal stem cells (hMSCs) and three-dimensional (3D) woven poly(ɛ-caprolactone) (PCL) scaffolds are promising tools for skeletal tissue engineering. We hypothesized that in vitro culture duration and medium additives can individually and ...,9e-06
160,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9111996/,Asparagine biosynthesis as a mechanism of increased host lethality induced by Serratia marcescens in simulated microgravity environments - PMC,"While studies have shown an increase in pathogenicity in several microbes during spaceflight and after exposure to simulated microgravity, the mechanisms underlying these changes in phenotype are not understood across different pathogens, ...",9e-06
161,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10233975/,Characterization of metagenome-assembled genomes from the International Space Station - PMC,"Several investigations on the microbial diversity and functional properties of the International Space Station (ISS) environment were carried out to understand the influence of spaceflight conditions on the microbial population. However, ...",9e-06
162,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4035928/,"Salt stress-induced Ca2+ waves are associated with rapid, long-distance root-to-shoot signaling in plants - PMC","This work documents a previously unreported plant-wide signaling system based on the rapid, long-distance transmission of Ca2+ waves. In the root these waves move through the cortical and endodermal cell layers at speeds of up to 400 µm/s, i.e., ...",9e-06
163,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3329368/,Release of extracellular purines from plant roots and effect on ion fluxes - PMC,"Extracellular purine nucleotides appear capable of regulating plant development, defence and stress responses by acting in part as agonists of plasma membrane calcium channels. Factors stimulating ATP release include wounding, osmotic stress and ...",9e-06
164,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11362537/,Spaceflight alters host-gut microbiota interactions - PMC,"The ISS rodent habitat has provided crucial insights into the impact of spaceflight on mammals, inducing symptoms characteristic of liver disease, insulin resistance, osteopenia, and myopathy. Although these physiological responses can involve the ...",9e-06
165,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10848226/,Biocontrol in built environments to reduce pathogen exposure and infection risk - PMC,"The microbiome of the built environment comprises bacterial, archaeal, fungal, and viral communities associated with human-made structures. Even though most of these microbes are benign, antibiotic-resistant pathogens can colonize and emerge ...",9e-06
166,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10308117/,Comparative genomic analysis of Cohnella hashimotonis sp. nov. isolated from the International Space Station - PMC,"A single strain from the family Paenibacillaceae was isolated from the wall behind the Waste Hygiene Compartment aboard the International Space Station (ISS) in April 2018, as part of the Microbial Tracking mission series. This strain was identified ...",9e-06
167,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,Mechanosensing antagonizes ethylene signaling to promote root gravitropism in rice - PMC,"Root gravitropism relies on gravity perception by the root cap and requires tightly regulated phytohormone signaling. Here, we isolate a rice mutant that displays root coiling in hydroponics but normal gravitropic growth in soil. We identify COILING ...",9e-06
168,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11850895/,"Glutathione triggers leaf-to-leaf, calcium-based plant defense signaling - PMC","Animals rely on nervous systems to cope with environmental variability, whereas plants are characterized by lack of nervous system but still have evolved systemic communication systems through signaling molecules that trigger long-distance defense ...",9e-06
169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4936552/,A ROS-Assisted Calcium Wave Dependent on the AtRBOHD NADPH Oxidase and TPC1 Cation Channel Propagates the Systemic Response to Salt Stress - PMC,Mathematical modeling coupled with direct measurement of Ca2+ and ROS dynamics suggest that ROS-assisted calcium-induced calcium release propagates stress-induced Ca2+ waves in plants.,9e-06
170,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3337602/,"Low-Dose, Ionizing Radiation and Age-Related Changes in Skeletal Microarchitecture - PMC","Osteoporosis can profoundly affect the aged as a consequence of progressive bone loss; high-dose ionizing radiation can cause similar changes, although less is known about lower doses (≤100 cGy). We hypothesized that exposure to relatively low doses ...",9e-06
171,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7610290/,Vascular Bundles Mediate Systemic Reactive Oxygen Signaling during Light Stress - PMC,The reactive oxygen species wave propagates through vascular bundles during the systemic response of Arabidopsis (Arabidopsis thaliana) plants to excess light stress.,9e-06
172,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5677518/,"Orchestrating rapid long-distance signaling in plants with Ca2+, ROS and electrical signals - PMC","Plants show a rapid systemic response to a wide range of environmental stresses, where the signals from the site of stimulus perception are transmitted to distal organs to elicit plant-wide responses. A wide range of signaling molecules are ...",9e-06
173,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5181587/,Wortmannin-induced vacuole fusion enhances amyloplast dynamics in Arabidopsis zigzag1 hypocotyls - PMC,"The highly restricted movement of amyloplasts in graviperceptive cells of zig-1 hypocotyls is overcome by wortmannin treatment, suggesting a physical association between amyloplasts and the vacuole. Key words: Amyloplasts, cytoskeleton, ...",9e-06
174,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5614317/,Real-time In Vivo Recording of Arabidopsis Calcium Signals During Insect Feeding Using a Fluorescent Biosensor - PMC,"Calcium ions are predicted to be key signaling entities during biotic interactions, with calcium signaling forming an established part of the plant defense response to microbial elicitors and to wounding caused by chewing insects, eliciting systemic ...",9e-06
175,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10027818/,Meta-analysis of the space flight and microgravity response of the Arabidopsis plant transcriptome - PMC,"Spaceflight presents a multifaceted environment for plants, combining the effects on growth of many stressors and factors including altered gravity, the influence of experiment hardware, and increased radiation exposure. To help understand the plant ...",9e-06
176,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8133610/,The fast and the furious: rapid long-range signaling in plants - PMC,"Plants possess a systemic signaling system whereby local stimuli can lead to rapid, plant-wide responses. In addition to the redistribution of chemical messengers that range from RNAs and peptides to hormones and metabolites, a communication system ...",9e-06
177,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7414185/,Tonoplast-localized Ca2+ pumps regulate Ca2+ signals during pattern-triggered immunity in Arabidopsis thaliana - PMC,"Ca2+ signaling is closely linked to the triggering of plant immune responses. We show that when the bacterial elicitor peptide flg22 is used to trigger immune responses in mutants missing tonoplast Ca2+ pumps, it causes disrupted Ca2+ signals that ...",9e-06
178,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9706465/,The vacuolar H+/Ca transporter CAX1 participates in submergence and anoxia stress responses - PMC,"A plant’s oxygen supply can vary from normal (normoxia) to total depletion (anoxia). Tolerance to anoxia is relevant to wetland species, rice (Oryza sativa) cultivation, and submergence tolerance of crops. Decoding and transmitting calcium (Ca) ...",9e-06
179,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7076552/,Test of Arabidopsis Space Transcriptome: A Discovery Environment to Explore Multiple Plant Biology Spaceflight Experiments - PMC,"Recent advances in the routine access to space along with increasing opportunities to perform plant growth experiments on board the International Space Station have led to an ever-increasing body of transcriptomic, proteomic, and epigenomic data ...",9e-06
180,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8113475/,Rad-Bio-App: a discovery environment for biologists to explore spaceflight-related radiation exposures - PMC,"In addition to microgravity, spaceflight simultaneously exposes biology to a suite of other stimuli. For example, in space, organisms experience ionizing radiation environments that significantly differ in both quality and quantity from those ...",9e-06
181,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4490751/,Ionizing Radiation Stimulates Expression of Pro-Osteoclastogenic Genes in Marrow and Skeletal Tissue - PMC,"Exposure to ionizing radiation can cause rapid mineral loss and increase bone-resorbing osteoclasts within metabolically active, cancellous bone tissue leading to structural deficits. To better understand mechanisms involved in rapid, ...",9e-06
182,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012842/,Validation of a New Rodent Experimental System to Investigate Consequences of Long Duration Space Habitation - PMC,"Animal models are useful for exploring the health consequences of prolonged spaceflight. Capabilities were developed to perform experiments in low earth orbit with on-board sample recovery, thereby avoiding complications caused by return to Earth. ...",9e-06
183,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5132293/,Preservation of Multiple Mammalian Tissues to Maximize Science Return from Ground Based and Spaceflight Experiments - PMC,"Even with recent scientific advancements, challenges posed by limited resources and capabilities at the time of sample dissection continue to limit the collection of high quality tissues from experiments that can be conducted only infrequently and ...",9e-06
184,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6753329/,Influence of Social Isolation During Prolonged Simulated Weightlessness by Hindlimb Unloading - PMC,"The hindlimb unloading (HU) model has been used extensively to simulate the cephalad fluid shift and musculoskeletal disuse observed in spaceflight with its application expanding to study immune, cardiovascular and central nervous system responses, ...",9e-06
185,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8260663/,Overexpression of catalase in mitochondria mitigates changes in hippocampal cytokine expression following simulated microgravity and isolation - PMC,"Isolation on Earth can alter physiology and signaling of organs systems, including the central nervous system. Although not in complete solitude, astronauts operate in an isolated environment during spaceflight. In this study, we determined the ...",9e-06
186,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11747068/,Single-cell RNA sequencing of the carotid artery and femoral artery of rats exposed to hindlimb unloading - PMC,"Prolonged spaceflight is known to cause vascular deconditioning and remodeling. Tail suspension, a widely used spaceflight analog, is reported to result in vascular remodeling of rats. However, little is known about the cellular atlas of the ...",9e-06
187,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666834/,Redox Signaling and Its Impact on Skeletal and Vascular Responses to Spaceflight - PMC,Spaceflight entails exposure to numerous environmental challenges with the potential to contribute to both musculoskeletal and vascular dysfunction. The purpose of this review is to describe current understanding of microgravity and radiation ...,9e-06
188,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6945029/,Immune Suppressive Extracellular Vesicle Proteins of Leptopilina heterotoma Are Encoded in the Wasp Genome - PMC,"Leptopilina heterotoma are obligate parasitoid wasps that develop in the body of their Drosophila hosts. During oviposition, female wasps introduce venom into the larval hosts’ body cavity. The venom contains discrete, 300 nm-wide, mixed-strategy ...",9e-06
189,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4647464/,An extensive allelic series of Drosophila kae1 mutants reveals diverse and tissue-specific requirements for t6A biogenesis - PMC,"N6-threonylcarbamoyl-adenosine (t6A) is one of the few RNA modifications that is universally present in life. This modification occurs at high frequency at position 37 of most tRNAs that decode ANN codons, and stabilizes cognate anticodon–codon ...",9e-06
190,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4405755/,The role of alterations in mitochondrial dynamics and PGC-1α over-expression in fast muscle atrophy following hindlimb unloading - PMC,The mechanisms triggering disuse muscle atrophy remain of debate. It is becoming evident that mitochondrial dysfunction may regulate pathways controlling muscle mass. We have recently shown that mitochondrial dysfunction plays a major role in disuse ...,9e-06
191,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9865768/,In Silico Analysis of a Drosophila Parasitoid Venom Peptide Reveals Prevalence of the Cation–Polar–Cation Clip Motif in Knottin Proteins - PMC,"As generalist parasitoid wasps, Leptopilina heterotoma are highly successful on many species of fruit flies of the genus Drosophila. The parasitoids produce specialized multi-strategy extracellular vesicle (EV)-like structures in their venom. ...",9e-06
192,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6372189/,A combined computational strategy of sequence and structural analysis predicts the existence of a functional eicosanoid pathway in Drosophila melanogaster - PMC,"This study reports on a putative eicosanoid biosynthesis pathway in Drosophila melanogaster and challenges the currently held view that mechanistic routes to synthesize eicosanoid or eicosanoid-like biolipids do not exist in insects, since to date, ...",9e-06
193,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9146534/,Three-Dimensional Kidney-on-a-Chip Assessment of Contrast-Induced Kidney Injury: Osmolality and Viscosity - PMC,"Increased viscosity of concentrated contrast media (CM) in the renal tubules can perturb renal hemodynamics and have a detrimental effect on tubular epithelial cells. However, the effects of viscosity on contrast-induced nephropathy (CIN) remain ...",9e-06
194,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5659752/,Novel organelles with elements of bacterial and eukaryotic secretion systems weaponize parasites of Drosophila - PMC,"The evolutionary success of parasitoid wasps, a highly diverse group of insects widely used in biocontrol, depends on a variety of life history strategies in conflict with those of their hosts [1]. Drosophila melanogaster is a natural host of ...",9e-06
195,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6321533/,Effects of Space Flight on Mouse Liver versus Kidney: Gene Pathway Analyses - PMC,"Understanding genome wide, tissue-specific, and spaceflight-induced changes in gene expression is critical to develop effective countermeasures. Transcriptome analysis has been performed on diverse tissues harvested from animals flown in space, but ...",9e-06
196,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10797188/,Drosophila parasitoids go to space: Unexpected effects of spaceflight on hosts and their parasitoids - PMC,"While fruit flies (Drosophila melanogaster) and humans exhibit immune system dysfunction in space, studies examining their immune systems’ interactions with natural parasites in space are lacking. Drosophila parasitoid wasps modify blood cell ...",9e-06
197,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6560652/,Physical Forces Modulate Oxidative Status and Stress Defense Meditated Metabolic Adaptation of Yeast Colonies: Spaceflight and Microgravity Simulations - PMC,Baker’s yeast (Saccharomyces cerevisiae) has broad genetic homology to human cells. Although typically grown as 1-2mm diameter colonies under certain conditions yeast can form very large (10 + mm in diameter) or ‘giant’ colonies on agar. Giant yeast ...,9e-06
198,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11492218/,"The Effect of Different Concentrations of Epinephrine in Otoendoscopic Surgery on Surgical Field Clarity: A Double-Blind, Randomized Study - PMC","At present, there is no consensus on the concentration of epinephrine/physiological saline for subcutaneous injection into external auditory canal (EAC) under general anesthesia in otoendoscopic surgery. A randomized controlled trial (RCT) research ...",9e-06
199,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8191917/,A parasitoid wasp of Drosophila employs preemptive and reactive strategies to deplete its host’s blood cells - PMC,"The wasps Leptopilina heterotoma parasitize and ingest their Drosophila hosts. They produce extracellular vesicles (EVs) in the venom that are packed with proteins, some of which perform immune suppressive functions. EV interactions with blood cells ...",9e-06
200,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4309212/,Genes Required for Survival in Microgravity Revealed by Genome-Wide Yeast Deletion Collections Cultured during Spaceflight - PMC,"Spaceflight is a unique environment with profound effects on biological systems including tissue redistribution and musculoskeletal stresses. However, the more subtle biological effects of spaceflight on cells and organisms are difficult to measure ...",9e-06
201,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12040010/,Cryptococcus albidus meningitis: A case report and literature review - PMC,"Central nervous system (CNS) infections caused by Cryptococcus albidus are rarely reported, but are often associated with high mortality rates. Clinical data on the appropriate use of liposomal-amphotericin B (liposomal-AmB) with cryptococcal ...",9e-06
202,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11833055/,Behavioral and multiomics analysis of 3D clinostat simulated microgravity effect in mice focusing on the central nervous system - PMC,"A study was conducted to evaluate the three-dimensional clinostat simulated microgravity effect on mouse models, focusing on the central nervous system. Eighteen mice were divided into three groups: control, survival box, and clinostat + survival ...",9e-06
203,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4110898/,Fifteen Days Microgravity Causes Growth in Calvaria of Mice - PMC,"Bone remodeling may occur in spaceflight as a response to skeletal unloading and head-ward fluid shifts. While unloading causes significant loss of bone mass and density in legs of animals exposed to microgravity, increased blood and interstitial ...",9e-06
204,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6339989/,From the international space station to the clinic: how prolonged unloading may disrupt lumbar spine stability - PMC,"Prolonged microgravity exposure is associated with localized low back pain and an elevated risk of post-flight disc herniation. Although the mechanisms by which microgravity impairs the spine are unclear, they should be foundational for developing ...",9e-06
205,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7555395/,Simultaneous Exposure of Cultured Human Lymphoblastic Cells to Simulated Microgravity and Radiation Increases Chromosome Aberrations - PMC,"During space travel, humans are continuously exposed to two major environmental stresses, microgravity (μG) and space radiation. One of the fundamental questions is whether the two stressors are interactive. For over half a century, many studies ...",9e-06
206,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5477841/,Spaceflight-Induced Bone Loss Alters Failure Mode and Reduces Bending Strength in Murine Spinal Segments - PMC,"Intervertebral disc herniation rates are quadrupled in astronauts following spaceflight. While bending motions are main contributors to herniation, the effects of microgravity on the bending properties of spinal discs are unknown. Consequently, the ...",9e-06
207,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9139491/,Spaceflight-Associated Vascular Remodeling and Gene Expression in Mouse Calvaria - PMC,"Astronauts suffer from a loss of bone mass at a rate of 1.5% per month from lower regions of the body during the course of long-duration (>30 days) spaceflight, a phenomenon that poses important risks for returning crew. Conversely, a gain in bone ...",9e-06
208,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3947616/,Altered Disc Compression in Children with Idiopathic Low Back Pain: An Upright MRI Backpack Study - PMC,This study is a repeated measures design to measure the lumbar spine’s response to common backpack loads in children with idiopathic low back pain (ILBP) using upright MRI. The purpose of this study is to analyze the lumbar spine’s response to ...,9e-06
209,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5515531/,"Exposure of Mycobacterium marinum to low-shear modeled microgravity: effect on growth, the transcriptome and survival under stress - PMC","Waterborne pathogenic mycobacteria can form biofilms, and certain species can cause hard-to-treat human lung infections. Astronaut health could therefore be compromised if the spacecraft environment or water becomes contaminated with pathogenic ...",9e-06
210,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3258067/,Effects of mechanostimulation on gravitropism and signal persistence in flax roots - PMC,Gravitropism describes curvature of plants in response to gravity or differential acceleration and clinorotation is commonly used to compensate unilateral effect of gravity. We report on experiments that examine the persistence of the gravity signal ...,9e-06
211,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9105288/,Transcription Profile of Auxin Related Genes during Positively Gravitropic Hypocotyl Curvature of Brassica rapa - PMC,"Unlike typical negative gravitropic curvature, young hypocotyls of Brassica rapa and other dicots exhibit positive gravitropism. This positive curvature occurs at the base of the hypocotyl and is followed by the typical negative gravity-induced ...",9e-06
212,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10025027/,Amelioration of the physio-biochemical responses to salinity stress and computing the primary germination index components in cauliflower on seed priming - PMC,"The significant horticultural crop, cauliflower (Brassica oleracea L. var. botrytis) is vulnerable to the excessive salt concentration in the soil, which contributes to its scaled-down growth and productivity, among other indices. The current study ...",9e-06
213,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7733933/,"Desiccation Mitigates Heat Stress in the Resurrection Fern, Pleopeltis polypodioides - PMC","Although heat and desiccation stresses often coincide, the response to heat especially in desiccation tolerant plants is rarely studied. We subjected hydrated Pleopeltis polypodioides fronds to temperatures up to 50°C and dehydrated fronds up to ...",9e-06
214,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9617909/,High-gradient magnetic fields and starch metabolism: results from a space experiment - PMC,Directing plant growth in weightlessness requires understanding the processes that establish plant orientation and how to manipulate them. Both gravi- and phototropism determine directional growth and previous experiments showed that high gradient ...,9e-06
215,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4411250/,The ongoing search for the molecular basis of plant osmosensing - PMC,The ongoing search for the molecular basis of plant osmosensing - PMC Skip to main content An official website of the United States government Here's how you know Here's how you know Official websites...,9e-06
216,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3503204/,MscS-Like10 is a stretch-activated ion channel from Arabidopsis thaliana with a preference for anions - PMC,"Like many other organisms, plants are capable of sensing and responding to mechanical stimuli such as touch, osmotic pressure, and gravity. One mechanism for the perception of force is the activation of mechanosensitive (or stretch-activated) ion ...",9e-06
217,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4469364/,Expressing and Characterizing Mechanosensitive Channels in Xenopus Oocytes - PMC,"The oocytes of the African clawed frog (Xenopus laevis) comprise one of the most widely used membrane protein expression systems. While frequently used for studies of transporters and ion channels, the application of this system to the study of ...",9e-06
218,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3044105/,"The role of FGF-2 and BMP-2 in regulation of gene induction, cell proliferation and mineralization - PMC","The difficulty in re-growing and mineralizing new bone after severe fracture can result in loss of ambulation or limb. Here we describe the sequential roles of FGF-2 in inducing gene expression, cell growth and BMP-2 in gene expression and ...",9e-06
219,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9695138/,Lipid Rafts and Plant Gravisensitivity - PMC,The necessity to include plants as a component of a Bioregenerative Life Support System leads to investigations to optimize plant growth facilities as well as a better understanding of the plant cell membrane and its numerous activities in the ...,9e-06
220,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5047659/,Plastid osmotic stress influences cell differentiation at the plant shoot apex - PMC,"The balance between proliferation and differentiation in the plant shoot apical meristem is controlled by regulatory loops involving the phytohormone cytokinin and stem cell identity genes. Concurrently, cellular differentiation in the developing ...",9e-06
221,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5515506/,Effects of angular frequency during clinorotation on mesenchymal stem cell morphology and migration - PMC,To determine the short-term effects of simulated microgravity on mesenchymal stem cell behaviors—as a function of clinorotation speed—using time-lapse microscopy. Ground-based microgravity simulation can reproduce the apparent effects of ...,9e-06
222,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3603133/,"Effects of Gravitational Mechanical Unloading in Endothelial Cells: Association between Caveolins, Inflammation and Adhesion Molecules - PMC","Mechanical forces including gravity affect endothelial cell (ECs) function, and have been implicated in vascular disease as well as physiologic changes associated with low gravity environments. The goal of this study was to investigate the impact of ...",9e-06
223,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11470607/,Over-activation of iNKT cells aggravate lung injury in bronchopulmonary dysplasia mice - PMC,"Bronchopulmonary dysplasia (BPD) is a severe lung disease in preterm infants, the abnormal proliferate and differentiate ability of type II epithelial cells (AEC II) is the key to the pathological basis of BPD. Mechanisms regarding abnormal AEC II ...",9e-06
224,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3002170/,"Nutritional supplements, COX-2 and IGF-1 expression in men on active surveillance for prostate cancer - PMC","Nutritional factors are associated with reduced risk of prostate cancer progression, yet mechanisms remain unclear. We examined the effects of lycopene and fish oil supplements versus placebo on the normal prostate microenvironment, among men ...",9e-06
225,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5454470/,Spaceflight-induced synaptic modifications within hair cells of the mammalian utricle - PMC,Spaceflight imposes a radically different sensory environment from that in which the inner ear utricle normally operates. We investigated synaptic modifications in utricles from mice flown aboard a space shuttle mission. Structural synaptic ...,9e-06
226,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6462350/,Fish Oil Increases Specialized Pro-resolving Lipid Mediators in PAD (The OMEGA-PAD II Trial) - PMC,N-3 polyunsaturated fatty acid (PUFA) supplementation has been associated with reduced mortality and inflammation in patients with cardiovascular disease. There are limited data on the effects of n-3 PUFA supplementation in patients with peripheral ...,9e-06
227,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4012541/,Molecular mechanisms underlying the enhanced functions of three-dimensional hepatocyte aggregates - PMC,"Three-dimensional (3D) culture of hepatocytes leads to improved and prolonged synthetic and metabolic functions, but the underlying molecular mechanisms are unknown. In order to investigate the role of 3D cell-cell interactions in maintaining ...",9e-06
228,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4653058/,Spaceflight alters expression of microRNA during T-cell activation - PMC,Altered immune function has been demonstrated in astronauts during spaceflights dating back to Apollo and Skylab; this could be a major barrier to long-term space exploration. We tested the hypothesis that spaceflight causes changes in microRNA ...,9e-06
229,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7190111/,Crewmember microbiome may influence microbial composition of ISS habitable surfaces - PMC,The International Space Station (ISS) is a complex built environment physically isolated from Earth. Assessing the interplay between the microbial community of the ISS and its crew is important for preventing biomedical and structural complications ...,9e-06
230,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6137544/,Spaceflight impairs antigen-specific tolerance induction in vivo and increases inflammatory cytokines - PMC,"The health risks of a dysregulated immune response during spaceflight are important to understand as plans emerge for humans to embark on long-term space travel to Mars. In this first-of-its-kind study, we used adoptive transfer of T-cell receptor ...",9e-06
231,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6188462/,To infinity … and beyond! Human spaceflight and life science - PMC,To infinity … and beyond! Human spaceflight and life science - PMC Skip to main content An official website of the United States government Here's how you know Here's how you know Official websites us...,9e-06
232,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2913424/,"From Cellular Mechanotransduction to Biologically Inspired Engineering: 2009 Pritzker Award Lecture, BMES Annual Meeting October 10, 2009 - PMC","This article is based on a lecture I presented as the recipient of the 2009 Pritzker Distinguished Lecturer Award at the Biomedical Engineering Society annual meeting in October 2009. Here, I review more than thirty years of research from my ...",9e-06
233,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8444978/,Draft Genome Sequences of Fungi Isolated from the International Space Station during the Microbial Tracking-2 Experiment - PMC,"As part of the Microbial Tracking-2 study, 94 fungal strains were isolated from surfaces on the International Space Station, and whole-genome sequences were assembled. Characterization of these draft genomes will allow evaluation of microgravity ...",9e-06
